Order_ID,Order_Date,Region,Customer_Segment,Category,Product,Quantity,Unit_Price,Discount,Revenue
ORD0001,2025-11-24,North,Home Office,Electronics,Wireless Mouse,3,1374.48,0.0,4123.44
ORD0002,2025-10-07,South,Consumer,Electronics,USB Hub,4,351.56,0.0,1406.24
ORD0003,2025-09-16,West,Consumer,Electronics,USB Hub,2,3635.89,0.15,6181.01
ORD0004,2025-08-18,East,Consumer,Fashion,T-Shirt,2,3550.07,0.05,6745.13
ORD0005,2025-04-21,East,Home Office,Fashion,T-Shirt,1,2022.65,0.05,1921.52
ORD0006,2025-05-16,North,Home Office,Electronics,Headphones,5,798.17,0.1,3591.76
ORD0007,2025-05-31,South,Corporate,Fashion,Jacket,2,3580.94,0.0,7161.88
ORD0008,2025-02-10,South,Corporate,Home & Kitchen,Coffee Maker,4,1533.27,0.05,5826.43
ORD0009,2025-07-01,Central,Home Office,Home & Kitchen,Cookware Set,1,3122.83,0.0,3122.83
ORD0010,2025-05-06,South,Home Office,Home & Kitchen,Table Lamp,4,1494.75,0.15,5082.15
ORD0011,2025-06-16,East,Consumer,Electronics,Keyboard,1,4063.22,0.1,3656.9
ORD0012,2025-04-19,South,Corporate,Fashion,Jeans,4,2098.03,0.1,7552.91
ORD0013,2025-03-13,West,Home Office,Home & Kitchen,Storage Box,5,1460.16,0.15,6205.68
ORD0014,2025-07-24,North,Consumer,Fashion,Jeans,2,2644.73,0.0,5289.46
ORD0015,2025-03-20,Central,Corporate,Home & Kitchen,Table Lamp,5,503.93,0.1,2267.68
ORD0016,2025-09-28,Central,Corporate,Fashion,Jacket,1,3464.36,0.0,3464.36
ORD0017,2025-11-25,North,Home Office,Fashion,T-Shirt,3,2285.87,0.1,6171.85
ORD0018,2025-05-15,Central,Home Office,Home & Kitchen,Storage Box,1,4377.49,0.05,4158.62
ORD0019,2025-04-12,North,Home Office,Home & Kitchen,Cookware Set,2,2788.02,0.15,4739.63
ORD0020,2025-06-15,South,Consumer,Beauty,Face Wash,1,4658.67,0.05,4425.74
ORD0021,2025-05-04,South,Consumer,Electronics,Wireless Mouse,4,4115.91,0.15,13994.09
ORD0022,2025-12-04,West,Consumer,Beauty,Lip Balm,2,1471.27,0.15,2501.16
ORD0023,2025-10-04,West,Home Office,Home & Kitchen,Cookware Set,4,4975.72,0.05,18907.74
ORD0024,2025-08-20,Central,Home Office,Electronics,Keyboard,2,506.32,0.0,1012.64
ORD0025,2025-04-28,South,Consumer,Home & Kitchen,Coffee Maker,1,3596.64,0.0,3596.64
ORD0026,2025-01-17,South,Home Office,Fashion,T-Shirt,5,1341.42,0.1,6036.39
ORD0027,2025-03-09,North,Consumer,Beauty,Moisturizer,4,4074.99,0.0,16299.96
ORD0028,2025-12-04,North,Consumer,Beauty,Shampoo,4,2172.29,0.0,8689.16
ORD0029,2025-07-26,West,Consumer,Fashion,T-Shirt,2,1118.63,0.15,1901.67
ORD0030,2025-08-05,West,Home Office,Home & Kitchen,Cookware Set,4,1398.07,0.0,5592.28
ORD0031,2025-02-20,South,Corporate,Electronics,USB Hub,1,4850.18,0.0,4850.18
ORD0032,2025-09-06,West,Consumer,Beauty,Moisturizer,4,4530.73,0.0,18122.92
ORD0033,2025-07-19,West,Consumer,Fashion,Backpack,3,2229.44,0.15,5685.07
ORD0034,2025-04-08,North,Home Office,Fashion,Jeans,1,2979.07,0.15,2532.21
ORD0035,2025-06-10,South,Consumer,Electronics,Wireless Mouse,5,2487.58,0.15,10572.22
ORD0036,2025-09-18,West,Consumer,Electronics,Keyboard,1,3055.17,0.0,3055.17
ORD0037,2025-10-19,West,Home Office,Home & Kitchen,Storage Box,5,389.76,0.0,1948.8
ORD0038,2025-10-26,South,Corporate,Fashion,Sneakers,2,3413.68,0.05,6485.99
ORD0039,2025-07-22,North,Corporate,Home & Kitchen,Cookware Set,4,1716.65,0.0,6866.6
ORD0040,2025-11-15,South,Corporate,Electronics,Wireless Mouse,5,1222.14,0.05,5805.17
ORD0041,2025-02-05,East,Home Office,Home & Kitchen,Cookware Set,3,956.18,0.15,2438.26
ORD0042,2025-12-01,South,Corporate,Electronics,USB Hub,3,4671.43,0.0,14014.29
ORD0043,2025-03-01,South,Home Office,Electronics,USB Hub,2,1506.27,0.15,2560.66
ORD0044,2025-06-25,North,Home Office,Home & Kitchen,Cookware Set,5,2543.95,0.0,12719.75
ORD0045,2025-08-05,East,Consumer,Fashion,T-Shirt,1,1800.07,0.0,1800.07
ORD0046,2025-08-15,Central,Consumer,Beauty,Lip Balm,1,735.99,0.0,735.99
ORD0047,2025-07-09,North,Corporate,Home & Kitchen,Table Lamp,2,399.78,0.05,759.58
ORD0048,2025-04-18,Central,Home Office,Home & Kitchen,Coffee Maker,3,3943.56,0.1,10647.61
ORD0049,2025-03-21,South,Home Office,Home & Kitchen,Water Bottle,2,4429.8,0.0,8859.6
ORD0050,2025-06-20,West,Consumer,Beauty,Moisturizer,3,963.15,0.0,2889.45
ORD0051,2025-08-29,South,Consumer,Home & Kitchen,Water Bottle,4,1877.36,0.0,7509.44
ORD0052,2025-12-04,East,Corporate,Home & Kitchen,Table Lamp,3,1536.29,0.0,4608.87
ORD0053,2025-11-25,East,Consumer,Beauty,Lip Balm,3,4707.34,0.0,14122.02
ORD0054,2025-10-25,East,Corporate,Fashion,T-Shirt,1,3062.54,0.05,2909.41
ORD0055,2025-11-07,West,Consumer,Electronics,Headphones,5,1111.38,0.0,5556.9
ORD0056,2025-09-24,Central,Corporate,Home & Kitchen,Cookware Set,4,534.87,0.05,2032.51
ORD0057,2025-12-06,East,Corporate,Electronics,Bluetooth Speaker,5,1683.57,0.1,7576.07
ORD0058,2025-12-23,South,Home Office,Fashion,Jacket,2,1119.83,0.1,2015.69
ORD0059,2025-10-19,East,Consumer,Fashion,Backpack,5,4200.88,0.05,19954.18
ORD0060,2025-08-09,Central,Corporate,Fashion,Backpack,4,2321.37,0.0,9285.48
ORD0061,2025-03-28,East,Consumer,Electronics,Bluetooth Speaker,5,3385.5,0.15,14388.38
ORD0062,2025-05-01,South,Corporate,Fashion,Jeans,2,906.3,0.0,1812.6
ORD0063,2025-11-09,South,Home Office,Electronics,Headphones,4,4452.46,0.15,15138.36
ORD0064,2025-12-23,North,Corporate,Beauty,Perfume,4,1370.13,0.0,5480.52
ORD0065,2025-04-23,North,Corporate,Home & Kitchen,Storage Box,4,440.05,0.0,1760.2
ORD0066,2025-03-10,Central,Home Office,Beauty,Lip Balm,5,3057.17,0.1,13757.27
ORD0067,2025-09-16,West,Corporate,Beauty,Lip Balm,4,4505.6,0.1,16220.16
ORD0068,2025-05-07,West,Consumer,Fashion,Jacket,4,3207.39,0.05,12188.08
ORD0069,2025-05-27,North,Consumer,Home & Kitchen,Cookware Set,3,1733.61,0.15,4420.71
ORD0070,2025-03-19,West,Corporate,Home & Kitchen,Table Lamp,2,3589.81,0.0,7179.62
ORD0071,2025-06-19,West,Home Office,Beauty,Perfume,1,1191.81,0.1,1072.63
ORD0072,2025-12-23,East,Corporate,Electronics,USB Hub,4,2488.5,0.05,9456.3
ORD0073,2025-08-03,North,Corporate,Home & Kitchen,Table Lamp,2,1509.09,0.1,2716.36
ORD0074,2025-06-22,Central,Consumer,Beauty,Moisturizer,4,4612.8,0.15,15683.52
ORD0075,2025-07-21,South,Consumer,Electronics,Wireless Mouse,4,850.36,0.1,3061.3
ORD0076,2025-05-14,West,Corporate,Beauty,Shampoo,2,2381.56,0.05,4524.96
ORD0077,2025-08-04,North,Corporate,Fashion,T-Shirt,4,292.04,0.15,992.94
ORD0078,2025-04-25,North,Home Office,Electronics,Wireless Mouse,1,4757.14,0.0,4757.14
ORD0079,2025-03-20,South,Corporate,Home & Kitchen,Water Bottle,4,3412.4,0.15,11602.16
ORD0080,2025-12-25,South,Corporate,Fashion,Sneakers,2,3107.28,0.0,6214.56
ORD0081,2025-02-25,West,Home Office,Electronics,Bluetooth Speaker,5,3450.27,0.1,15526.21
ORD0082,2025-04-12,Central,Consumer,Electronics,USB Hub,2,688.13,0.05,1307.45
ORD0083,2025-10-17,North,Home Office,Electronics,Bluetooth Speaker,5,2255.21,0.05,10712.25
ORD0084,2025-11-28,West,Corporate,Fashion,T-Shirt,4,4146.19,0.0,16584.76
ORD0085,2025-11-22,East,Home Office,Beauty,Moisturizer,4,1044.46,0.15,3551.16
ORD0086,2025-10-03,East,Corporate,Beauty,Perfume,4,4162.53,0.15,14152.6
ORD0087,2025-05-06,Central,Home Office,Electronics,Bluetooth Speaker,4,1369.54,0.1,4930.34
ORD0088,2025-12-09,South,Corporate,Beauty,Shampoo,1,2571.67,0.05,2443.09
ORD0089,2025-04-19,East,Home Office,Fashion,Sneakers,3,1541.36,0.15,3930.47
ORD0090,2025-01-06,Central,Consumer,Home & Kitchen,Coffee Maker,2,3655.36,0.1,6579.65
ORD0091,2025-12-20,East,Consumer,Beauty,Perfume,4,4005.08,0.0,16020.32
ORD0092,2025-07-27,Central,Corporate,Home & Kitchen,Cookware Set,5,1970.3,0.15,8373.77
ORD0093,2025-08-06,South,Consumer,Fashion,Sneakers,4,1499.4,0.05,5697.72
ORD0094,2025-04-09,South,Consumer,Fashion,T-Shirt,5,4763.21,0.0,23816.05
ORD0095,2025-09-05,South,Corporate,Fashion,Jacket,5,3063.6,0.0,15318.0
ORD0096,2025-04-27,South,Corporate,Fashion,Jeans,3,266.91,0.15,680.62
ORD0097,2025-01-24,West,Consumer,Electronics,USB Hub,3,3546.6,0.0,10639.8
ORD0098,2025-01-07,North,Corporate,Fashion,Backpack,4,2313.25,0.0,9253.0
ORD0099,2025-09-02,North,Consumer,Electronics,Wireless Mouse,4,2559.38,0.15,8701.89
ORD0100,2025-03-18,Central,Home Office,Fashion,T-Shirt,2,767.57,0.1,1381.63
ORD0101,2025-11-13,East,Home Office,Home & Kitchen,Storage Box,4,2361.47,0.1,8501.29
